Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed,Birthplace,HomeTown,HighSchool,College,Past Pro,Past Pro 2,Twitter_id,Twitter_username,Twitter_followers,Twitter_friends,birthPlace,birthPlace_url,weight,nationality,dob,college,weeki_comment,high_school,height
448,"Darius Morris","BRK","$702756","","","","","","Minimum Salary","","","","","","","","","dariusmorris4","64724 followers ","","Los Angeles","http://dbpedia.org/resource/Los_Angeles",88452,"NULL","1991-01-03","Michigan Wolverines men's basketball","Darius Aaron Morris (born January 3 1991) is an American professional basketball player who last played for the Memphis Grizzlies of the NBA and played for the Rio Grande Valley Vipers of the NBA D-League. Morris was selected as the 41st pick in the 2011 NBA draft by the Los Angeles Lakers of the National Basketball Association (NBA) and plays the point guard position.","NULL",1.9558
199,"Darrell Arthur","DEN","$3457149","","","","","","Bird Rights","$3457149","","","","","","","","","","","Dallas","http://dbpedia.org/resource/Dallas",106596,"NULL","1988-03-25","Kansas Jayhawks men's basketball","Darrell Antwonne Arthur (born March 25 1988) is an American professional basketball player who currently plays for the Denver Nuggets of the National Basketball Association (NBA). He is listed at 6'9 235 lb (107 kg) and plays the forward position. Arthur played college basketball for the Kansas Jayhawks for two seasons including the 2007–2008 national championship team.","NULL",2.0574
160,"Darren Collison","SAC","$4797664","$5013559","$5229454","","","","MLE","$15040677","","","","","","","","Darren_Collison","92098 followers ","","Rancho Cucamonga California","http://dbpedia.org/resource/Rancho_Cucamonga,_California",79380,"NULL","1987-08-23","UCLA Bruins men's basketball","Darren Michael Collison (born August 23 1987) is an American professional basketball player who plays for the Los Angeles Clippers of the National Basketball Association (NBA). He earned NBA All-Rookie Team honors in his first season in the NBA with the New Orleans Hornets.Collison played four seasons of college basketball for the UCLA Bruins.","NULL",1.8288
52,"DeAndre Jordan","LAC","$11440124","","","","","","Bird Rights","$11440124","","","","","","","","deandrejordan6","554220 followers ","","Houston","http://dbpedia.org/resource/Houston",120204,"NULL","1988-07-21","Texas A&M Aggies men's basketball","Hyland DeAndre Jordan Jr. (born July 21 1988) is an American professional basketball center with the Los Angeles Clippers of the National Basketball Association (NBA). He played a year of college basketball at Texas A&M University. He was drafted by the Clippers with the 35th overall pick in the 2008 NBA draft.","NULL",2.1082
503,"Dee Bost","UTA","$65000","","","","","","","$65000","","","","","","","","","","","Charlotte North Carolina","http://dbpedia.org/resource/Charlotte,_North_Carolina",79833.60000000001,"NULL","1989-10-12","Mississippi State Bulldogs basketball","Demarquis Dee Bost (born October 12 1989) is an American professional basketball player.","NULL",1.8796
285,"DeJuan Blair","WAS","$2000000","$2000000","$2000000","","","","Bird Rights","$4000000","","","","","","","","DeJuan45","140754 followers ","","{Pittsburgh|Pittsburgh Panthers men's basketball}","{http://dbpedia.org/resource/Pittsburgh|http://dbpedia.org/resource/Pittsburgh_Panthers_men's_basketball}",122472,"NULL","1989-04-22","Pittsburgh Panthers men's basketball","DeJuan Lamont Blair (born April 22 1989) is an American professional basketball player who currently plays for the Dallas Mavericks of the National Basketball Association (NBA). Before turning pro Blair played center for the University of Pittsburgh men's basketball team from 2007 to 2009. After an outstanding sophomore season he entered the 2009 NBA Draft where he was selected in the second round 37th overall by the San Antonio Spurs.","NULL",2.0066
66,"DeMar DeRozan","TOR","$9500000","$9500000","$9500000","","","","Bird Rights","$19000000","","","","","","","","DeMar_DeRozan","366046 followers ","","Compton California","http://dbpedia.org/resource/Compton,_California",97977.60000000001,"NULL","1989-08-07","USC Trojans men's basketball","DeMar Darnell DeRozan (born August 7 1989) is an American professional basketball player who plays for the Toronto Raptors in the National Basketball Association (NBA). DeRozan played college basketball at USC for the Trojans. He was selected 9th overall by the Raptors in the 2009 NBA Draft. In 2014 he was selected to play for the All-Star team as a reserve.","NULL",2.0066
32,"DeMarcus Cousins","SAC","$13701250","$14728844","$15756438","$16784031","","","1st Round Pick","$60970563","","","","","","","","","","","{Alabama|Mobile Alabama}","{http://dbpedia.org/resource/Alabama|http://dbpedia.org/resource/Mobile,_Alabama}",122472,"NULL","1990-08-13","Kentucky Wildcats men's basketball","DeMarcus Amir Cousins (born August 13 1990) is an American professional basketball center with the Sacramento Kings of the National Basketball Association (NBA). He played college basketball at the University of Kentucky.","NULL",2.1082
254,"DeMarre Carroll","ATL","$2442455","","","","","","Cap Space","$2442455","","","","","","","","DeMarreCarroll1","23100 followers ","","Birmingham Alabama","http://dbpedia.org/resource/Birmingham,_Alabama",96163.2,"NULL","1986-07-27","{Missouri Tigers men's basketball|Vanderbilt Commodores men's basketball}","DeMarre LaEdrick Carroll (born July 27 1986) is an American professional basketball player who currently plays for the Atlanta Hawks of the National Basketball Association (NBA). Carroll was drafted 27th overall by the Memphis Grizzlies in the 2009 NBA Draft. Carroll formerly played for the University of Missouri and Vanderbilt University. He is the nephew of former Missouri and current Arkansas men's basketball coach Mike Anderson.","NULL",2.032
9,"Deron Williams","BRK","$19754465","$21042800","$22331135","","","","Bird Rights","$40797265","","","","","","","","DeronWilliams","774046 followers ","","Parkersburg West Virginia","http://dbpedia.org/resource/Parkersburg,_West_Virginia",94802.39999999999,"NULL","1984-06-26","Illinois Fighting Illini men's basketball","Deron Michael Williams (/ˈdɛrən/ DERR-in; born June 26 1984) is an American professional basketball player who currently plays for the Brooklyn Nets of the National Basketball Association (NBA). In addition to the Nets he has played for the Utah Jazz and Beşiktaş of the Turkish Basketball League. Williams was drafted 3rd overall in the 2005 draft by the Utah Jazz for whom he played before being traded in the middle of his sixth season to the Nets.","The Colony High School",1.905
38,"Derrick Favors","UTA","$12833333","$11933333","$10983333","$11933333","","","1st Round Pick","$46950000","","","","","","","","dfavors14","77911 followers ","","{Atlanta|University of Georgia}","{http://dbpedia.org/resource/Atlanta|http://dbpedia.org/resource/University_of_Georgia}",121565,"NULL","1991-07-15","Georgia Tech Yellow Jackets men's basketball","Derrick Bernard Favors (born July 15 1991) is an American professional basketball player who plays for the Utah Jazz of the National Basketball Association (NBA). He is a 6-foot-10-inch (2.08 m) power forward who played for Georgia Tech. On June 24 2010 he was drafted 3rd overall by the New Jersey Nets.","NULL",2.0828
13,"Derrick Rose","CHI","$18862875","$20093063","$21323250","","","","Bird Rights","$60279188","","","","","","","","drose","2038725 followers ","","{Chicago|Illinois}","{http://dbpedia.org/resource/Chicago|http://dbpedia.org/resource/Illinois}",86184,"NULL","1988-10-04","Memphis Tigers men's basketball","Derrick Martell Rose (born October 4 1988) is an American professional basketball player for the Chicago Bulls of the National Basketball Association (NBA).Born in Chicago Rose learned the game of basketball from his three older brothers. In high school he won two state championships and was rated by scouts as the top point guard prospect in the country after graduation.[citation needed] He played for the University of Memphis Tigers and reached the NCAA national championship game in 2008.","NULL",1.905
184,"Devin Harris","DAL","$3878000","$4053000","$4228000","$4403000","","","","$16562000","","","","","","","","Dev34Harris","18443 followers ","","{Milwaukee|Wisconsin}","{http://dbpedia.org/resource/Milwaukee|http://dbpedia.org/resource/Wisconsin}",87091.2,"NULL","1983-02-27","Wisconsin Badgers men's basketball","Devin Lamar Harris (born February 27 1983) is an American professional basketball player who currently plays for the Dallas Mavericks of the National Basketball Association (NBA). Harris attended the University of Wisconsin–Madison. Harris was selected with the fifth pick in the 2004 NBA Draft by the Washington Wizards.","NULL",1.905
429,"Dewayne Dedmon","ORL","$816482","$947278","","","","","Minimum Salary","","","","","","","","","","","","{Lancaster California|Lancaster High School (Lancaster California)}","{http://dbpedia.org/resource/Lancaster,_California|http://dbpedia.org/resource/Lancaster_High_School_(Lancaster,_California)}",115668,"NULL","1989-08-12","USC Trojans men's basketball","Dewayne Jamal Dedmon (born August 12 1989) is an American professional basketball player who currently plays for the Orlando Magic of the NBA. He played college basketball at both Antelope Valley College and the University of Southern California.","NULL",2.1336
395,"Diante Garrett","POR","$915243","$981348","","","","","","$30000","","","","","","","","kingarrett10","8643 followers ","","Milwaukee","http://dbpedia.org/resource/Milwaukee",86184,"NULL","1988-11-03","Iowa State Cyclones men's basketball","Diante Garrett (born November 3 1988) is an American professional basketball player who currently plays for the Utah Jazz of the NBA. He played college basketball at Iowa State University.","NULL",1.9304
175,"Dion Waiters","OKC","$4062000","$5138430","","","","","1st Round Pick","$4062000","","","","","","","","dionwaiters3","118550 followers ","","Philadelphia","http://dbpedia.org/resource/Philadelphia",102060,"NULL","1991-12-10","Syracuse Orange men's basketball","Dion Waiters (born December 10 1991) is an American professional basketball player who currently plays for the Cleveland Cavaliers of the NBA. He began playing basketball his junior year of high school at Life Center Academy. After graduating Waiters played college basketball at Syracuse. He was drafted 4th overall in the 2012 NBA Draft by the Cleveland Cavaliers.","NULL",1.9304
88,"Dirk Nowitzki","DAL","$7974482","$8333334","$8692184","","","","Cap Space","$16307816","","","","","","","","swish41","1403087 followers ","","{Basketball Bundesliga|West Germany|Würzburg}","{http://dbpedia.org/resource/Basketball_Bundesliga|http://dbpedia.org/resource/West_Germany|http://dbpedia.org/resource/W%C3%BCrzburg}",111132,"NULL","1978-06-19","NULL","Dirk Werner Nowitzki (German pronunciation: [ˈdɪʁk ˈvɛʁnɐ noˈvɪtski]) (born June 19 1978) is a German professional basketball player for the Dallas Mavericks of the National Basketball Association (NBA). An alumnus of Röntgen Gymnasium and the DJK Würzburg basketball club Nowitzki was chosen as the ninth pick in the 1998 NBA Draft by the Milwaukee Bucks and immediately traded to the Mavericks where he has played since.","NULL",2.1336
218,"Dorell Wright","POR","$3150000","","","","","","Cap Space","$3150000","","","","","","","","DWRIGHTWAY1","132398 followers ","","{California|Los Angeles}","{http://dbpedia.org/resource/California|http://dbpedia.org/resource/Los_Angeles}",92988,"NULL","1985-12-02","NULL","Dorell Lawrence Wright (born December 2 1985) is an American professional basketball player who currently plays for the Portland Trail Blazers of the NBA. Wright was drafted in the 2004 NBA Draft by the Miami Heat directly out of high school. He has also played for the Golden State Warriors and Philadelphia 76ers.","NULL",2.0574
262,"Doug McDermott","CHI","$2277960","$2380440","$2483040","$3294994","","","1st Round Pick","$4658400","","","","","","","","","","","Grand Forks North Dakota","http://dbpedia.org/resource/Grand_Forks,_North_Dakota",102060,"NULL","1992-01-03","Creighton Bluejays men's basketball","Douglas Richard Doug McDermott (born January 3 1992) is an American basketball player who played college basketball for Creighton University. He led the nation in scoring in 2013–14 was a consensus first team All-American in 2012 2013 and 2014 and scored the fifth-most points in NCAA Division I men's basketball history. He was also named to the team that represented the United States in the 2011 FIBA Under-19 World Championship. He is the son of his coach at Creighton Greg McDermott.","NULL",2.032
408,"Draymond Green","GSW","$915243","","","","","","MLE","$250000","","","","","","","","Money23Green","108004 followers ","","{Saginaw High School|Saginaw Michigan|Michigan Wolverines men's basketball}","{http://dbpedia.org/resource/Saginaw_High_School|http://dbpedia.org/resource/Saginaw,_Michigan|http://dbpedia.org/resource/Michigan_Wolverines_men's_basketball}",104328,"NULL","1990-03-04","Michigan State Spartans men's basketball","Draymond Jamal Green (/dreɪmɑːnd/ DRAY-mahnd) (born March 4 1990) is an American professional basketball player who currently plays for the Golden State Warriors of the NBA. Green grew up in Saginaw Michigan and played college basketball at Michigan State. With Michigan State Green helped the team to two Final Four appearances and a Big Ten Tournament championship in 2012.","NULL",2.0066
500,"Drew Crawford","ORL","$75000","","","","","","","$75000","","","","","","","","","","","Naperville Illinois","http://dbpedia.org/resource/Naperville,_Illinois",97524,"NULL","1990-10-18","Northwestern Wildcats men's basketball","Andrew Eugene Drew Crawford (born October 18 1990) is an American college basketball player for the Northwestern Wildcats basketball team who has completed his redshirt senior season for the 2013–14 team. He was the 2009–10 Big Ten Freshman of the Year (media) and is a two-time Academic All-American as well as a third team 2011–12 All-Big Ten selection. He is the son of National Basketball Association referee Dan Crawford and Claudia who is of Lithuanian descent.","NULL",1.9558
108,"Drew Gooden","MIL","$6680000","","","","","","","","","","","","","","","DrewGooden","67118 followers ","","Oakland California","http://dbpedia.org/resource/Oakland,_California",113400,"NULL","1981-09-24","Kansas Jayhawks men's basketball","Andrew Melvin Drew Gooden (born September 24 1981) is an American professional basketball player who currently plays for the Washington Wizards of the National Basketball Association. He is a 6'10 250 lbs. power forward who played collegiately at the University of Kansas.","NULL",2.0828
328,"Drew Gooden","WAS","$1448000","","","","","","Minimum Salary","$1448000","","","","","","","","","","","Oakland California","http://dbpedia.org/resource/Oakland,_California",113400,"NULL","1981-09-24","Kansas Jayhawks men's basketball","Andrew Melvin Drew Gooden (born September 24 1981) is an American professional basketball player who currently plays for the Washington Wizards of the National Basketball Association. He is a 6'10 250 lbs. power forward who played collegiately at the University of Kansas.","NULL",2.0828
516,"Drew Gordon","PHI","$40000","","","","","","","$40000","","","","","","","","xtraGORDONary32","7991 followers ","","San Jose California","http://dbpedia.org/resource/San_Jose,_California",111132,"NULL","1990-07-12","{New Mexico Lobos men's basketball|UCLA Bruins men's basketball}","Drew Edward Gordon (born July 12 1990) is an American professional basketball player who currently plays for Dinamo Sassari of the Italian League. Gordon began his college career at UCLA then transferred during his sophomore year to the University of New Mexico. After his transfer Gordon garnered a number of accolades for his play as the starting center for the Lobos giving New Mexico a dominating inside presence.","NULL",2.05105
5,"Dwight Howard","HOU","$21436271","$22359364","$23282457","","","","Cap Space","$43795635","","","","","","","","DwightHoward","5641414 followers ","","{Atlanta|Georgia (U.S. state)}","{http://dbpedia.org/resource/Atlanta|http://dbpedia.org/resource/Georgia_(U.S._state)}",120204,"NULL","1985-12-08","NULL","Dwight David Howard (born December 8 1985) is an American professional basketball player for the Houston Rockets of the National Basketball Association (NBA). Howard who usually plays center but can also play power forward had an outstanding high school career at Southwest Atlanta Christian Academy. He chose to forgo college and entered the 2004 NBA Draft and was selected first overall by the Orlando Magic.","NULL",2.1082
23,"Dwyane Wade","MIA","$15000000","$16125000","","","","","Bird Rights","","","","","","","","","DwyaneWade","4590348 followers ","","{Chicago|Illinois}","{http://dbpedia.org/resource/Chicago|http://dbpedia.org/resource/Illinois}",99792,"NULL","1982-01-17","Marquette Golden Eagles men's basketball","Dwyane Tyrone Wade Jr. (born January 17 1982) is an American professional basketball player who currently plays for the Miami Heat of the NBA. He has established himself as one of the most well-known and popular players in the league. Wade had the top selling jersey in the NBA for nearly two years leading the NBA in jersey sales from the 2005 NBA Playoffs until the midpoint of the 2006–07 season.","NULL",1.9304
393,"E'Twaun Moore","CHI","$948163","$1015421","","","","","Minimum Salary","$425000","","","","","","","","ETwaun55","25845 followers ","","{East Chicago Indiana|Indiana Hoosiers men's basketball}","{http://dbpedia.org/resource/East_Chicago,_Indiana|http://dbpedia.org/resource/Indiana_Hoosiers_men's_basketball}",86637.60000000001,"NULL","1989-02-25","Purdue Boilermakers men's basketball","E'Twaun Donte Moore (born February 25 1989) is an American professional basketball guard with the Orlando Magic of the NBA. He was drafted by the Boston Celtics in the 2011 NBA Draft after playing college basketball at Purdue University.","NULL",1.9304
384,"Ekpe Udoh","LAC","$981084","","","","","","Minimum Salary","$981084","","","","","","","","EkpeUdoh","29862 followers ","","{Oklahoma|Edmond Oklahoma}","{http://dbpedia.org/resource/Oklahoma|http://dbpedia.org/resource/Edmond,_Oklahoma}",111132,"NULL","1987-05-20","{Michigan Wolverines men's basketball|Baylor Bears basketball}","Ekpedeme Friday Ekpe Udoh (/ɛˈpeɪ ˈjuːdoʊ/ e-PAY EW-doh; born May 20 1987) is an American professional basketball player who currently plays for the Milwaukee Bucks of the National Basketball Association (NBA). He formerly played with the Baylor Bears and was selected by the Warriors with the sixth overall pick in the 2010 NBA Draft.","NULL",2.0828
482,"Elijah Millsap","UTA","$241731","$845059","$980431","","","","Minimum Salary","$59686","","","","","","","","","","","Monroe Louisiana","http://dbpedia.org/resource/Monroe,_Louisiana",97524,"NULL","1987-08-12","{UAB Blazers men's basketball|Louisiana–Lafayette Ragin' Cajuns men's basketball}","Elijah Millsap (born August 12 1987) is an American professional basketball player who currently plays for the Los Angeles D-Fenders of the NBA D-League. He played college basketball at both the University of Louisiana at Lafayette and the University of Alabama at Birmingham.","NULL",1.9812
510,"Elliot Williams","UTA","$53838","","","","","","","$53838","","","","","","","","ewill901","22895 followers ","","{Tennessee|Memphis Tennessee}","{http://dbpedia.org/resource/Tennessee|http://dbpedia.org/resource/Memphis,_Tennessee}",81648,"NULL","1989-06-20","{Duke Blue Devils men's basketball|Memphis Tigers men's basketball}","Elliot Jerell Williams (born June 20 1989) is an American professional basketball player who currently plays for the Philadelphia 76ers of the NBA. He was selected with the 22nd overall pick in the 2010 NBA Draft by the Portland Trail Blazers.","NULL",1.9558
287,"Elton Brand","ATL","$2000000","","","","","","Cap Space","$2000000","","","","","","","","","","","Cortlandt Manor New York","http://dbpedia.org/resource/Cortlandt_Manor,_New_York",115214,"NULL","1979-03-11","Duke Blue Devils men's basketball","Elton Tyron Brand (born March 11 1979) is an American professional basketball player who currently plays for the Atlanta Hawks of the National Basketball Association (NBA). He was selected with first overall pick in the 1999 NBA Draft by the Chicago Bulls and has also played for the Los Angeles Clippers Philadelphia 76ers and Dallas Mavericks.","NULL",2.0574
130,"Enes Kanter","UTA","$5694674","","","","","","1st Round Pick","$5694674","","","","","","","","Enes_Kanter","90145 followers ","","{Switzerland|Zürich}","{http://dbpedia.org/resource/Switzerland|http://dbpedia.org/resource/Z%C3%BCrich}",112039,"NULL","1992-05-20","NULL","Enes Kanter (born May 20 1992) is a Turkish professional basketball player who currently plays for the Utah Jazz of the National Basketball Association (NBA).","NULL",2.1082
43,"Eric Bledsoe","PHO","$12173913","$13086957","$14000001","$14913045","$15826089","","Bird Rights","$70000000","","","","","","","","EBled2","136635 followers ","","Birmingham Alabama","http://dbpedia.org/resource/Birmingham,_Alabama",88452,"NULL","1989-12-09","Kentucky Wildcats men's basketball","Eric Bledsoe (born December 9 1989) is an American professional basketball point guard with the Phoenix Suns of the National Basketball Association (NBA). He was selected by the Oklahoma City Thunder with the 18th overall pick in the 2010 NBA Draft and subsequently traded to the Los Angeles Clippers.","NULL",1.8542
24,"Eric Gordon","NOP","$14898938","$15514031","","","","","Bird Rights","$14898938","","","","","","","","TheofficialEG10","154643 followers ","","{Indianapolis|Indiana Hoosiers men's basketball}","{http://dbpedia.org/resource/Indianapolis|http://dbpedia.org/resource/Indiana_Hoosiers_men's_basketball}",97524,"NULL","1988-12-25","Indiana Hoosiers men's basketball","Eric Ambrose Gordon Jr. (born December 25 1988) is an American professional basketball player who currently plays for the New Orleans Pelicans of the National Basketball Association (NBA). In high school he was named Mr. Basketball of Indiana during his senior year while playing at North Central High School.","NULL",1.9304
269,"Eric Maynor","PHI","$2106720","","","","","","","$2106720","","","","","","","","EMaynor3","103938 followers ","","Raeford North Carolina","http://dbpedia.org/resource/Raeford,_North_Carolina",79380,"NULL","1987-06-11","VCU Rams men's basketball","Eric Demarqua Maynor (born June 11 1987) is an American professional basketball player who last played for the Philadelphia 76ers of the National Basketball Association (NBA). He played college basketball for the Virginia Commonwealth University Rams. As a senior he averaged 22.4 points 6.2 assists 3.6 rebounds and 1.7 steals per game in the 2008–2009 season.Maynor was drafted by the Utah Jazz of the NBA in 2009. He has also played for the Oklahoma City Thunder and Portland Trail Blazers.","NULL",1.905
468,"Erick Green","DEN","$507336","$845059","$980431","","","","Minimum Salary","$50000","","","","","","","","ErickGreen","12730 followers ","","Inglewood California","http://dbpedia.org/resource/Inglewood,_California",83916,"NULL","1991-05-09","Virginia Tech Hokies men's basketball","Erick O'Brien Green (born May 9 1991) is an American professional basketball player who currently plays for Montepaschi Siena of the Italian League. Green played for the Virginia Tech Hokies during his college career. He finished the 2012–13 NCAA Division I season as the top scorer in the nation at 25.0 points per game while scoring a total of 801 points.","NULL",1.905
495,"Erik Murphy","BOS","$100000","","","","","","","$100000","","","","","","","","e_murphy33","14020 followers ","","{France|Lyon}","{http://dbpedia.org/resource/France|http://dbpedia.org/resource/Lyon}",104328,"{Finland|United States}","1990-10-26","Florida Gators men's basketball","Erik Murphy (born October 26 1990) is an American-Finnish professional basketball player who currently plays for the Utah Jazz of the National Basketball Association (NBA).","{St. Mark's School (Massachusetts)|Southborough Massachusetts}",2.0828
315,"Evan Fournier","ORL","$1483920","$2288205","","","","","1st Round Pick","$3772125","","","","","","","","EvanFourmizz","35261 followers ","","{France|Saint-Maurice Val-de-Marne}","{http://dbpedia.org/resource/France|http://dbpedia.org/resource/Saint-Maurice,_Val-de-Marne}",90720,"NULL","1992-10-29","NULL","Evan Mehdi Fournier (born October 29 1992) is a French professional basketball player who currently plays for the Denver Nuggets of the NBA. He played junior basketball at INSEP academy from 2007 to 2009.","NULL",1.9812
213,"Evan Turner","BOS","$3278000","$3425510","","","","","MLE","$6703510","","","","","","","","thekidet","162654 followers ","","{Chicago|Illinois}","{http://dbpedia.org/resource/Chicago|http://dbpedia.org/resource/Illinois}",99792,"NULL","1988-10-27","Ohio State Buckeyes men's basketball","Evan Marcel Turner (born October 27 1988) is an American professional basketball player who currently plays for the Indiana Pacers of the National Basketball Association (NBA). Turner was drafted 2nd overall by the Philadelphia 76ers in the 2010 NBA draft and played for them until he was traded in February 2014. Turner plays the point guard shooting guard and small forward positions. Turner was a first-team 2010 NCAA Men's Basketball All-American and the 2010 National Player of the Year.","St. Joseph High School (Westchester Illinois)",2.0066
473,"Fab Melo","MEM","$437080","$437080","","","","","","$874160","","","","","","","","Fabpmelo","36778 followers ","","{Brazil|Juiz de Fora}","{http://dbpedia.org/resource/Brazil|http://dbpedia.org/resource/Juiz_de_Fora}",115668,"NULL","1990-06-20","Syracuse Orange men's basketball","Fabricio Fab Paulino de Melo (born June 20 1990) is a Brazilian professional basketball player who currently plays for the Texas Legends of the NBA Development League.","Sagemont School",2.1336
363,"Festus Ezeli","GSW","$1112880","$2008748","","","","","","$3121628","","","","","","","","fezzyfel","32201 followers ","","{Nigeria|Benin City}","{http://dbpedia.org/resource/Nigeria|http://dbpedia.org/resource/Benin_City}",115668,"NULL","1989-10-21","Vanderbilt Commodores men's basketball","Ifeanyi Festus Ezeli-Ndulue (born October 21 1989) is a Nigerian professional basketball player who currently plays for the Golden State Warriors of the National Basketball Association (NBA). He was selected by the Golden State Warriors as the 30th pick in the 1st round of the 2012 NBA draft.","NULL",2.1082
228,"Furkan Aldemir","PHI","$3000000","","","","","","Minimum Salary","","","","","","","","","","","","{Konak Izmir|Turkey|İzmir}","{http://dbpedia.org/resource/Konak,_Izmir|http://dbpedia.org/resource/Turkey|http://dbpedia.org/resource/%C4%B0zmir}",105000,"NULL","1991-08-09","NULL","Furkan Aldemir (born August 9 1991) is a Turkish professional basketball player who currently plays for Galatasaray Liv Hospital of the Turkish Basketball League. He is 2.07 m (6 ft 9 in) tall and 105 kg (230 lbs) weight. He mainly plays the power forward position but he can also play as a center if needed.","NULL",2.08
438,"Gal Mekel","DAL","$816482","$947276","","","","","","$1763758","","","","","","","","","","","{Petah Tikva|Israel}","{http://dbpedia.org/resource/Petah_Tikva|http://dbpedia.org/resource/Israel}",86637.60000000001,"NULL","1988-03-04","Wichita State Shockers men's basketball","Gal Mekel (Hebrew: גל מקל‎ pronounced [ˈɡal meˈkel]; born March 4 1988) is an Israeli professional basketball player who currently plays for the Dallas Mavericks of the National Basketball Association (NBA).He played college basketball for two years at Wichita State. He then played in the Israeli Basketball Super League for Maccabi Tel Aviv Hapoel Gilboa Galil and Maccabi Haifa and in the Italian Serie A League for Benetton Treviso.","NULL",1.905
453,"Gal Mekel","NOP","$633974","","","","","","","","","","","","","","","","","","{Petah Tikva|Israel}","{http://dbpedia.org/resource/Petah_Tikva|http://dbpedia.org/resource/Israel}",86637.60000000001,"NULL","1988-03-04","Wichita State Shockers men's basketball","Gal Mekel (Hebrew: גל מקל‎ pronounced [ˈɡal meˈkel]; born March 4 1988) is an Israeli professional basketball player who currently plays for the Dallas Mavericks of the National Basketball Association (NBA).He played college basketball for two years at Wichita State. He then played in the Israeli Basketball Super League for Maccabi Tel Aviv Hapoel Gilboa Galil and Maccabi Haifa and in the Italian Serie A League for Benetton Treviso.","NULL",1.905
377,"Garrett Temple","WAS","$981084","$1100602","","","","","Minimum Salary","$981084","","","","","","","","GTemp14","14581 followers ","","Baton Rouge Louisiana","http://dbpedia.org/resource/Baton_Rouge,_Louisiana",88452,"NULL","1986-05-08","LSU Tigers basketball","Garrett Temple (born May 8 1986) is an American professional basketball shooting guard with the Washington Wizards of the National Basketball Association (NBA).A 6'6 shooting guard Temple played at Louisiana State University (LSU) from 2005 to 2009. As a senior he became LSU's all-time leader in minutes played (4432) breaking a record set by Howard Carter in 1983.","NULL",1.9812
313,"Gary Harris","DEN","$1519200","$1587480","$1655880","$2550055","","","1st Round Pick","$3106680","","","","","","","","","","","Fishers Indiana","http://dbpedia.org/resource/Fishers,_Indiana",95256,"NULL","1994-09-14","Michigan State Spartans men's basketball","Gary Harris (born September 14 1994) is an American basketball player with the Michigan State Spartans men's basketball team. Harris played his high school basketball in Fishers Indiana at Hamilton Southeastern High School. His mother is Joy Holmes-Harris a former Purdue and Detroit Shock player.","NULL",1.9304
216,"Gary Neal","CHO","$3250000","","","","","","Cap Space","$3250000","","","","","","","","","","","Baltimore","http://dbpedia.org/resource/Baltimore",95256,"NULL","1984-10-03","NULL","Gary Neal (born October 3 1984) is an American professional basketball player who currently plays for the Charlotte Bobcats of the National Basketball Association (NBA). Neal attended Aberdeen High School and Calvert Hall College High School in Maryland then played college basketball at La Salle University before transferring to Towson University. He began his professional career abroad with teams in Turkey Spain and Italy before signing with the San Antonio Spurs in 2010.","NULL",1.9304
198,"Gerald Green","PHO","$3500000","","","","","","Cap Space","$3500000","","","","","","","","","","","{Houston|2007–08 Houston Rockets season}","{http://dbpedia.org/resource/Houston|http://dbpedia.org/resource/2007%E2%80%9308_Houston_Rockets_season}",95256,"NULL","1986-01-26","NULL","Gerald Green Jr. (born January 26 1986) is an American professional basketball player who currently plays for the Phoenix Suns of the NBA. He was drafted by the Boston Celtics with the 18th pick of the first round in the 2005 NBA Draft. Known for his dunking skill he has performed well in many slam dunk competitions having won the 2005 McDonald's All-American Slam Dunk Contest and the 2007 NBA Slam Dunk Contest while finishing as the runner-up in the 2008 NBA Slam Dunk Contest.","Leader's Academy High School for Business and Academic Success",2.032
125,"Gerald Henderson","CHO","$6000000","$6000000","","","","","Bird Rights","$6000000","","","","","","","","GhJr09","38086 followers ","","Richmond Virginia","http://dbpedia.org/resource/Richmond,_Virginia",79380,"NULL","1956-01-16","VCU Rams men's basketball","Jerome McKinley Gerald Henderson Sr. (born January 16 1956) is a retired American basketball player. He was a combo guard who had a 13-year career in the NBA from 1979 until 1992. He played for the Boston Celtics Seattle SuperSonics New York Knicks Philadelphia 76ers Milwaukee Bucks Detroit Pistons and Houston Rockets.","NULL",1.8796
59,"Gerald Wallace","BOS","$10105855","$10105855","","","","","Bird Rights","$20211710","","","","","","","","","","","Sylacauga Alabama","http://dbpedia.org/resource/Sylacauga,_Alabama",99792,"NULL","1982-07-23","Alabama Crimson Tide men's basketball","Gerald Jermaine Wallace (born July 23 1982) is an American professional basketball small forward for the Boston Celtics of the National Basketball Association (NBA).","NULL",2.0066
294,"Giannis Antetokounmpo","MIL","$1873200","$1953960","$2995421","","","","1st Round Pick","$3827160","","","","","","","","","","","{Athens|Greece|Sepolia}","{http://dbpedia.org/resource/Athens|http://dbpedia.org/resource/Greece|http://dbpedia.org/resource/Sepolia}",92988,"NULL","1994-12-06","NULL","Giannis Antetokounmpo (Greek: Γιάννης Αντετοκούνμπο Greek pronunciation: [ˈʝanis a(n)detoˈku(m)bo]; born December 6 1994) is a Greek professional basketball player of Nigerian descent who currently plays for the Milwaukee Bucks of the National Basketball Association (NBA). He is currently the youngest player in the NBA. His older brother Thanasis currently plays for the Delaware 87ers of the NBA D-League. His nickname is The Greek Freak.","NULL",2.0574
